[2023-01-23 20:25:05,385] 115 root - INFO -Data Augmentation Done for both train and test images and masks...
[2023-01-23 20:25:26,756] 122 root - INFO -Started training the model...
[2023-01-23 20:26:48,306] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.6499596893787384
[2023-01-23 20:28:52,852] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.5540476813912392
[2023-01-23 20:30:58,222] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.467415389418602
[2023-01-23 20:34:06,690] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.4584288775920868
[2023-01-23 20:36:12,700] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.43881399780511854
[2023-01-23 20:37:16,526] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.3941908791661263
[2023-01-23 20:44:56,797] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.3917532965540886
[2023-01-23 20:47:14,686] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.3845001071691513
[2023-01-23 20:50:44,116] 142 root - INFO -Saved the checkpoint as valid loss improved to 0.37026622146368027
[2023-01-23 21:25:14,568] 155 root - INFO -Training Completed...
[2023-01-23 21:31:37,910] 81 root - INFO - Testing Started...
[2023-01-23 21:31:37,931] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:38,841] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:38,886] 81 root - INFO - Testing Started...
[2023-01-23 21:31:38,903] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:39,324] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:39,355] 81 root - INFO - Testing Started...
[2023-01-23 21:31:39,368] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:39,788] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:39,836] 81 root - INFO - Testing Started...
[2023-01-23 21:31:39,852] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:40,262] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:40,298] 81 root - INFO - Testing Started...
[2023-01-23 21:31:40,313] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:40,728] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:40,762] 81 root - INFO - Testing Started...
[2023-01-23 21:31:40,783] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:41,209] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:41,240] 81 root - INFO - Testing Started...
[2023-01-23 21:31:41,254] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:41,664] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:41,698] 81 root - INFO - Testing Started...
[2023-01-23 21:31:41,712] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:42,180] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:42,232] 81 root - INFO - Testing Started...
[2023-01-23 21:31:42,252] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:42,672] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:42,721] 81 root - INFO - Testing Started...
[2023-01-23 21:31:42,743] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:43,181] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:43,217] 81 root - INFO - Testing Started...
[2023-01-23 21:31:43,239] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:43,695] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:43,732] 81 root - INFO - Testing Started...
[2023-01-23 21:31:43,745] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:44,170] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:44,208] 81 root - INFO - Testing Started...
[2023-01-23 21:31:44,232] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:44,661] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:44,717] 81 root - INFO - Testing Started...
[2023-01-23 21:31:44,733] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:31:45,152] 150 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:31:45,198] 81 root - INFO - Testing Started...
[2023-01-23 21:31:45,219] 112 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:32:47,091] 49 root - INFO - Testing Started...
[2023-01-23 21:32:47,092] 50 root - INFO -Making Predictions on Test Data...
[2023-01-23 21:32:50,158] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:50,631] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:51,093] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:51,572] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:52,065] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:52,547] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:53,014] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:53,479] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:53,943] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:54,402] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:54,871] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:55,339] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:55,807] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:56,301] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:56,777] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:57,246] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:57,757] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:58,260] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:58,760] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:59,253] 152 root - INFO -Saving the Resulted Mask Images at results folder...
[2023-01-23 21:32:59,300] 162 root - INFO -Test Metrics are: Jaccard: 0.5984 - F1: 0.7431 - Recall: 0.6197 - Precision: 0.9521 - Acc: 0.9487
[2023-01-23 21:33:32,960] 49 root - INFO - Testing Started...
[2023-01-23 21:33:32,961] 50 root - INFO -Making Predictions on Test Data...
